ligand,receptor,sender,receiver,ligand_mean,receptor_mean,score,sample
CXCL9,CXCR3,Endothelial,Endothelial,0.018326288,0.008470262,0.00015522847,ZFL
PGF,KDR,Myeloid,Myeloid,0.010500196,0.014755198,0.00015493248,ZFL
ICOSLG,ICOS,Mast,Endothelial,0.012916301,0.011976854,0.00015469665,ZFL
TNFSF11,TNFRSF11A,Fibroblasts,T_cells,0.00886699,0.017222313,0.00015271008,ZFL
IL17A,IL17RA,Fibroblasts,B_Plasma,0.0012131601,0.12557632,0.00015234418,ZFL
PDGFA,PDGFRA,Epithelial,Myeloid,0.077361695,0.0019649197,0.00015200952,ZFL
CXCL8,CXCR2,B_Plasma,Fibroblasts,0.014218499,0.010666037,0.00015165504,ZFL
VEGFA,KDR,T_cells,Epithelial,0.017347753,0.00872605,0.00015137736,ZFL
PGF,KDR,T_cells,Epithelial,0.017337548,0.00872605,0.0001512883,ZFL
CD274,PDCD1,Mast,Epithelial,0.039183892,0.0038521746,0.00015094319,ZFL
IL1A,IL1R1,T_cells,Epithelial,0.0028998055,0.051991124,0.00015076414,ZFL
CXCL10,CXCR3,T_cells,Fibroblasts,0.008405875,0.01768961,0.00014869665,ZFL
CD80,CTLA4,T_cells,Epithelial,0.018477065,0.008019801,0.00014818239,ZFL
CXCL8,CXCR2,B_Plasma,T_cells,0.014218499,0.010411785,0.00014803995,ZFL
ICOSLG,ICOS,Mast,Epithelial,0.012916301,0.011449424,0.0001478842,ZFL
CXCL11,CXCR3,Epithelial,Mast,0.0061243703,0.02398287,0.00014687997,ZFL
CSF3,CSF3R,Endothelial,Fibroblasts,0.1740966,0.00084083463,0.00014638645,ZFL
IL6,IL6R,T_cells,Endothelial,0.0029342768,0.049558185,0.00014541743,ZFL
CXCL8,CXCR1,Epithelial,Myeloid,0.060551733,0.0023934431,0.00014492712,ZFL
FASLG,FAS,Epithelial,Fibroblasts,0.0013665278,0.10587812,0.00014468539,ZFL
TNFSF14,TNFRSF14,B_Plasma,Epithelial,0.00089458283,0.1610337,0.000144058,ZFL
CD86,CTLA4,Fibroblasts,Fibroblasts,0.0070685917,0.020270132,0.00014328129,ZFL
IL1A,IL1R1,Fibroblasts,Myeloid,0.0050001414,0.028642694,0.00014321752,ZFL
IFNG,IFNGR1,B_Plasma,B_Plasma,0.0022639893,0.06320803,0.0001431023,ZFL
HHLA2,TMIGD2,Epithelial,T_cells,0.004762771,0.02997024,0.0001427414,ZFL
CXCL16,CXCR6,B_Plasma,Myeloid,0.07461701,0.0019096789,0.00014249454,ZFL
CXCL10,CXCR3,Mast,Endothelial,0.016784415,0.008470262,0.0001421684,ZFL
CCL17,CCR4,Myeloid,Epithelial,0.05512516,0.002578979,0.00014216662,ZFL
CXCL9,CXCR3,B_Plasma,Endothelial,0.016716095,0.008470262,0.00014158971,ZFL
CCL20,CCR6,T_cells,Endothelial,0.06558358,0.0021503724,0.00014102912,ZFL
IL12A,IL12RB1,Endothelial,Myeloid,0.0021280411,0.066072926,0.0001406059,ZFL
CXCL13,CXCR5,Myeloid,Fibroblasts,0.017651163,0.007919092,0.00013978117,ZFL
TNFSF14,TNFRSF14,B_Plasma,B_Plasma,0.00089458283,0.15596221,0.00013952111,ZFL
IL1A,IL1R1,Endothelial,Myeloid,0.0048134937,0.028642694,0.00013787142,ZFL
CXCL8,CXCR2,T_cells,Endothelial,0.012252523,0.011217107,0.00013743786,ZFL
IL21,IL21R,Epithelial,NK,0.00016037004,0.8557607,0.00013723837,ZFL
IL21,IL21R,Myeloid,Endothelial,0.0056978767,0.023973688,0.00013659912,ZFL
TNFSF11,TNFRSF11A,Fibroblasts,Epithelial,0.00886699,0.015311805,0.00013576962,ZFL
PDGFA,PDGFRA,Endothelial,Myeloid,0.068679206,0.0019649197,0.00013494912,ZFL
IL6,IL6R,T_cells,B_Plasma,0.0029342768,0.045918785,0.00013473842,ZFL
IL10,IL10RA,Epithelial,Mast,0.005130456,0.026199348,0.0001344146,ZFL
CD86,CTLA4,Mast,Fibroblasts,0.0066256714,0.020270132,0.00013430323,ZFL
CCL3,CCR5,Fibroblasts,Fibroblasts,0.039731644,0.0033739924,0.00013405427,ZFL
CXCL13,CXCR5,Endothelial,Mast,0.006194752,0.02156271,0.00013357565,ZFL
CD86,CTLA4,Fibroblasts,Myeloid,0.0070685917,0.018848713,0.00013323386,ZFL
CD86,CTLA4,Endothelial,Fibroblasts,0.0065342374,0.020270132,0.00013244986,ZFL
VEGFA,KDR,Mast,B_Plasma,0.11138481,0.0011881742,0.00013234456,ZFL
CXCL13,CXCR5,Myeloid,Endothelial,0.017651163,0.0074105333,0.00013080453,ZFL
PGF,KDR,Epithelial,T_cells,0.04292786,0.0030466327,0.00013078543,ZFL
CXCL8,CXCR2,T_cells,Fibroblasts,0.012252523,0.010666037,0.00013068586,ZFL
CXCL16,CXCR6,T_cells,B_Plasma,0.061488394,0.0021249626,0.00013066054,ZFL
CXCL8,CXCR2,B_Plasma,B_Plasma,0.014218499,0.009180321,0.00013053039,ZFL
IL1A,IL1R1,B_Plasma,T_cells,0.0013241926,0.09831874,0.00013019294,ZFL
CD86,CD28,Epithelial,Fibroblasts,0.0123234615,0.010547113,0.00012997694,ZFL
ANGPT1,TEK,Fibroblasts,Fibroblasts,0.07560269,0.0017189089,0.00012995413,ZFL
IL21,IL21R,Myeloid,B_Plasma,0.0056978767,0.022798864,0.00012990512,ZFL
CXCL8,CXCR1,Fibroblasts,Myeloid,0.053998042,0.0023934431,0.00012924125,ZFL
CCL20,CCR6,Myeloid,B_Plasma,0.029631602,0.004344872,0.00012874552,ZFL
CXCL8,CXCR2,Mast,Epithelial,0.006339523,0.02026329,0.0001284596,ZFL
CD86,CD28,Fibroblasts,B_Plasma,0.0070685917,0.018138675,0.00012821489,ZFL
CX3CL1,CX3CR1,Fibroblasts,Epithelial,0.16901101,0.00075840007,0.00012817797,ZFL
TNFSF13B,TNFRSF13C,Endothelial,Myeloid,0.01154697,0.011093975,0.0001281018,ZFL
CCL3,CCR5,Endothelial,Epithelial,0.046219923,0.0027671254,0.00012789632,ZFL
CXCL8,CXCR2,T_cells,T_cells,0.012252523,0.010411785,0.00012757063,ZFL
PGF,KDR,Mast,Fibroblasts,0.019421926,0.0065452554,0.00012712147,ZFL
CXCL9,CXCR3,Mast,Fibroblasts,0.00717717,0.01768961,0.00012696134,ZFL
HGF,MET,T_cells,Epithelial,0.0012715948,0.099471726,0.00012648772,ZFL
HGF,MET,T_cells,Endothelial,0.0012715948,0.099326424,0.00012630297,ZFL
CCL20,CCR6,Epithelial,Endothelial,0.058686633,0.0021503724,0.00012619811,ZFL
IL10,IL10RA,Endothelial,B_Plasma,0.0017026745,0.073568046,0.00012526244,ZFL
IL1A,IL1R1,Epithelial,B_Plasma,0.006447814,0.019383276,0.00012497975,ZFL
CD86,CTLA4,Mast,Myeloid,0.0066256714,0.018848713,0.00012488538,ZFL
CCL3,CCR5,Epithelial,Fibroblasts,0.03697677,0.0033739924,0.00012475935,ZFL
CD86,CTLA4,Endothelial,Myeloid,0.0065342374,0.018848713,0.00012316197,ZFL
EGF,EGFR,B_Plasma,Endothelial,0.0004585129,0.2682366,0.00012298994,ZFL
CD86,CD28,T_cells,Fibroblasts,0.011626927,0.010547113,0.00012263052,ZFL
IL10,IL10RA,Epithelial,Endothelial,0.005130456,0.023635179,0.00012125924,ZFL
PDGFA,PDGFRA,Myeloid,B_Plasma,0.031074237,0.003879109,0.00012054035,ZFL
PDGFA,PDGFRA,T_cells,Epithelial,0.023742164,0.0050667906,0.00012029657,ZFL
CD86,CD28,Mast,B_Plasma,0.0066256714,0.018138675,0.0001201809,ZFL
CD80,CD28,Fibroblasts,Mast,0.0020896157,0.057389718,0.00011992246,ZFL
BMP2,BMPR1A,Mast,Endothelial,0.00489951,0.024445912,0.000119772994,ZFL
CCL20,CCR6,Endothelial,Myeloid,0.039644044,0.0030153198,0.00011953947,ZFL
FASLG,FAS,Endothelial,Epithelial,0.0018066156,0.065864176,0.00011899125,ZFL
PDCD1LG2,PDCD1,Epithelial,T_cells,0.00088724244,0.13382536,0.00011873554,ZFL
CD86,CD28,Endothelial,B_Plasma,0.0065342374,0.018138675,0.00011852241,ZFL
CD274,PDCD1,T_cells,Myeloid,0.015757114,0.0074881595,0.00011799178,ZFL
CXCL13,CXCR5,B_Plasma,Myeloid,0.00863857,0.013633194,0.000117771306,ZFL
CXCL16,CXCR6,T_cells,Myeloid,0.061488394,0.0019096789,0.000117423086,ZFL
PDGFA,PDGFRA,Myeloid,T_cells,0.031074237,0.003778184,0.00011740419,ZFL
XCL2,XCR1,T_cells,B_Plasma,0.2199447,0.0005195891,0.00011428087,ZFL
IL23A,IL23R,Endothelial,T_cells,0.005503031,0.020664142,0.00011371542,ZFL
CD86,CD28,Epithelial,Epithelial,0.0123234615,0.009220876,0.000113633105,ZFL
CD276,VTCN1,T_cells,Myeloid,0.034714717,0.0032731986,0.000113628164,ZFL
VEGFA,KDR,T_cells,Fibroblasts,0.017347753,0.0065452554,0.00011354547,ZFL
PGF,KDR,T_cells,Fibroblasts,0.017337548,0.0065452554,0.00011347868,ZFL
CCL2,CCR2,B_Plasma,Endothelial,0.13297763,0.00084768794,0.00011272354,ZFL
CXCL8,CXCR2,T_cells,B_Plasma,0.012252523,0.009180321,0.00011248209,ZFL
TNFSF9,TNFRSF9,T_cells,B_Plasma,0.11074772,0.0010137848,0.00011227435,ZFL
EGF,EGFR,B_Plasma,Mast,0.0004585129,0.24472032,0.000112207425,ZFL
VEGFA,KDR,Endothelial,T_cells,0.03661224,0.0030466327,0.00011154405,ZFL
CXCL13,CXCR5,Mast,Myeloid,0.008171623,0.013633194,0.00011140532,ZFL
VEGFA,KDR,Fibroblasts,B_Plasma,0.09326805,0.0011881742,0.0001108187,ZFL
TNFSF11,TNFRSF11A,Fibroblasts,Fibroblasts,0.00886699,0.01244318,0.00011033355,ZFL
CD80,CTLA4,Epithelial,Mast,0.0031456768,0.03495421,0.00010995464,ZFL
CCL3,CCR5,Fibroblasts,Epithelial,0.039731644,0.0027671254,0.00010994244,ZFL
CXCL8,CXCR1,Epithelial,T_cells,0.060551733,0.0018052339,0.000109310036,ZFL
CXCL8,CXCR2,Mast,Mast,0.006339523,0.017224224,0.00010919337,ZFL
IL10,IL10RA,B_Plasma,Fibroblasts,0.0066315406,0.016439969,0.00010902232,ZFL
TNFSF13B,TNFRSF13C,Endothelial,Epithelial,0.01154697,0.009414298,0.00010870663,ZFL
CXCL11,CXCR3,Epithelial,Fibroblasts,0.0061243703,0.01768961,0.00010833772,ZFL
TNFSF13B,TNFRSF13C,Fibroblasts,Fibroblasts,0.061570987,0.0017582163,0.00010825511,ZFL
IL2,IL2RA,T_cells,Myeloid,0.0011557483,0.09353029,0.00010809747,ZFL
CD274,PDCD1,Myeloid,Fibroblasts,0.023809718,0.0045143357,0.00010748506,ZFL
CD86,CD28,T_cells,Epithelial,0.011626927,0.009220876,0.00010721045,ZFL
CXCL11,CXCR3,B_Plasma,B_Plasma,0.001479981,0.072410084,0.00010716555,ZFL
EGF,EGFR,B_Plasma,T_cells,0.0004585129,0.23196311,0.00010635808,ZFL
CD274,PDCD1,Myeloid,Endothelial,0.023809718,0.004463045,0.00010626384,ZFL
CX3CL1,CX3CR1,Endothelial,B_Plasma,0.29337087,0.00035817132,0.00010507704,ZFL
CCL3,CCR5,Endothelial,B_Plasma,0.046219923,0.0022672848,0.000104793726,ZFL
IL10,IL10RA,B_Plasma,Epithelial,0.0066315406,0.015790852,0.00010471768,ZFL
CXCL9,CXCR3,T_cells,Epithelial,0.009882176,0.0105534475,0.00010429103,ZFL
EGF,EGFR,B_Plasma,B_Plasma,0.0004585129,0.22736368,0.00010424918,ZFL
CX3CL1,CX3CR1,Myeloid,Endothelial,0.07387835,0.001403282,0.00010367216,ZFL
CD276,VTCN1,Mast,Myeloid,0.03150933,0.0032731986,0.00010313629,ZFL
CX3CL1,CX3CR1,Myeloid,Fibroblasts,0.07387835,0.0013924583,0.000102872524,ZFL
CD276,VTCN1,B_Plasma,Myeloid,0.031381648,0.0032731986,0.00010271837,ZFL
VEGFA,KDR,B_Plasma,T_cells,0.033675577,0.0030466327,0.000102597114,ZFL
CCL3,CCR5,Epithelial,Epithelial,0.03697677,0.0027671254,0.000102319354,ZFL
TNFSF13B,TNFRSF13C,Epithelial,Myeloid,0.009212153,0.011093975,0.000102199396,ZFL
CCL22,CCR4,Myeloid,Endothelial,0.027675766,0.0036904435,0.000102135855,ZFL
VEGFA,KDR,Epithelial,B_Plasma,0.08543802,0.0011881742,0.00010151525,ZFL
TNFSF11,TNFRSF11A,Epithelial,Mast,0.001840798,0.055081498,0.00010139391,ZFL
EGF,EGFR,B_Plasma,Myeloid,0.0004585129,0.22105229,0.00010135533,ZFL
CD86,CD28,Fibroblasts,Endothelial,0.0070685917,0.0143058915,0.0001011225,ZFL
CCL20,CCR6,Fibroblasts,B_Plasma,0.023253096,0.004344872,0.00010103173,ZFL
ANGPT1,TEK,Fibroblasts,T_cells,0.07560269,0.0013348551,0.00010091863,ZFL
CD86,CTLA4,Fibroblasts,Endothelial,0.0070685917,0.014170478,0.00010016532,ZFL
TNFSF11,TNFRSF11A,Mast,Myeloid,0.018478753,0.0053881546,9.956638e-05,ZFL
PDCD1LG2,PDCD1,Mast,Fibroblasts,0.02205005,0.0045143357,9.954132e-05,ZFL
CD86,CTLA4,Epithelial,Epithelial,0.0123234615,0.008019801,9.883171e-05,ZFL
CD86,CD28,B_Plasma,Myeloid,0.051654223,0.0019096789,9.864298e-05,ZFL
CCL22,CCR4,Myeloid,Myeloid,0.027675766,0.00355623,9.842139e-05,ZFL
PDCD1LG2,PDCD1,Mast,Endothelial,0.02205005,0.004463045,9.841036e-05,ZFL
XCL2,XCR1,T_cells,Epithelial,0.2199447,0.00044453007,9.7772034e-05,ZFL
CCL2,CCR2,T_cells,Endothelial,0.115105666,0.00084768794,9.7573684e-05,ZFL
CCL3,CCR1,Mast,T_cells,0.008171623,0.011938611,9.755782e-05,ZFL
CXCL8,CXCR1,Fibroblasts,T_cells,0.053998042,0.0018052339,9.74791e-05,ZFL
IL21,IL21R,T_cells,Endothelial,0.004055136,0.023973688,9.7216565e-05,ZFL
IL1A,IL1R1,Fibroblasts,B_Plasma,0.0050001414,0.019383276,9.6919124e-05,ZFL
IL2,IL2RA,T_cells,B_Plasma,0.0011557483,0.083590254,9.660929e-05,ZFL
IL23A,IL23R,T_cells,Fibroblasts,0.053168405,0.0018092287,9.6193806e-05,ZFL
CCL17,CCR4,Myeloid,Fibroblasts,0.05512516,0.0017392255,9.587508e-05,ZFL
IL1B,IL1R1,B_Plasma,Mast,0.009134013,0.010454923,9.54954e-05,ZFL
CD274,PDCD1,Mast,B_Plasma,0.039183892,0.0024345636,9.539568e-05,ZFL
IL23A,IL23R,T_cells,Epithelial,0.053168405,0.0017895455,9.514728e-05,ZFL
CD86,CD28,Mast,Endothelial,0.0066256714,0.0143058915,9.478613e-05,ZFL
CD80,CTLA4,Endothelial,Fibroblasts,0.0046613505,0.020270132,9.448619e-05,ZFL
CXCL13,CXCR5,Epithelial,Fibroblasts,0.01192299,0.007919092,9.441925e-05,ZFL
CD86,CTLA4,Mast,Endothelial,0.0066256714,0.014170478,9.388893e-05,ZFL
CD86,CD28,Endothelial,Endothelial,0.0065342374,0.0143058915,9.347809e-05,ZFL
IL1A,IL1R1,Endothelial,B_Plasma,0.0048134937,0.019383276,9.330128e-05,ZFL
CD86,CTLA4,T_cells,Epithelial,0.011626927,0.008019801,9.3245646e-05,ZFL
CD86,CTLA4,Endothelial,Endothelial,0.0065342374,0.014170478,9.259327e-05,ZFL
IL21,IL21R,T_cells,B_Plasma,0.004055136,0.022798864,9.2452494e-05,ZFL
PDGFA,PDGFRA,T_cells,B_Plasma,0.023742164,0.003879109,9.209844e-05,ZFL
CX3CL1,CX3CR1,Epithelial,B_Plasma,0.25626722,0.00035817132,9.1787566e-05,ZFL
CD274,PDCD1,Myeloid,Epithelial,0.023809718,0.0038521746,9.1719194e-05,ZFL
PGF,KDR,Myeloid,Epithelial,0.010500196,0.00872605,9.162524e-05,ZFL
CCL17,CCR4,Epithelial,Mast,0.009275688,0.009876953,9.161554e-05,ZFL
HGF,MET,Epithelial,T_cells,0.0026835282,0.034081783,9.145943e-05,ZFL
CCL3,CCR5,Fibroblasts,B_Plasma,0.039731644,0.0022672848,9.0082955e-05,ZFL
FASLG,FAS,Epithelial,Epithelial,0.0013665278,0.065864176,9.0005226e-05,ZFL
PDGFA,PDGFRA,T_cells,T_cells,0.023742164,0.003778184,8.970226e-05,ZFL
IL21,IL21R,Myeloid,Fibroblasts,0.0056978767,0.015683228,8.93611e-05,ZFL
CCL20,CCR6,Myeloid,Myeloid,0.029631602,0.0030153198,8.934875e-05,ZFL
CXCL10,CXCR3,T_cells,Epithelial,0.008405875,0.0105534475,8.871096e-05,ZFL
CD80,CD28,B_Plasma,Myeloid,0.046382114,0.0019096789,8.857495e-05,ZFL
CXCL13,CXCR5,Epithelial,Endothelial,0.01192299,0.0074105333,8.8355715e-05,ZFL
CD80,CTLA4,Endothelial,Myeloid,0.0046613505,0.018848713,8.786046e-05,ZFL
CCL2,CCR2,B_Plasma,Epithelial,0.13297763,0.0006566182,8.731554e-05,ZFL
TNFSF13B,TNFRSF13C,Epithelial,Epithelial,0.009212153,0.009414298,8.672596e-05,ZFL
TNFSF9,TNFRSF9,Myeloid,B_Plasma,0.084745154,0.0010137848,8.591335e-05,ZFL
CCL20,CCR6,Endothelial,Endothelial,0.039644044,0.0021503724,8.5249456e-05,ZFL
PDCD1LG2,PDCD1,Mast,Epithelial,0.02205005,0.0038521746,8.494064e-05,ZFL
CD80,CD28,Endothelial,B_Plasma,0.0046613505,0.018138675,8.4550724e-05,ZFL
CXCL13,CXCR5,Endothelial,Myeloid,0.006194752,0.013633194,8.445426e-05,ZFL
IL10,IL10RA,Epithelial,Fibroblasts,0.005130456,0.016439969,8.434453e-05,ZFL
CCL3,CCR5,Epithelial,B_Plasma,0.03697677,0.0022672848,8.3836865e-05,ZFL
CXCL9,CXCR3,T_cells,Endothelial,0.009882176,0.008470262,8.3704625e-05,ZFL
CX3CL1,CX3CR1,T_cells,Endothelial,0.059506927,0.001403282,8.3505e-05,ZFL
IL1A,IL1R1,T_cells,Myeloid,0.0028998055,0.028642694,8.305824e-05,ZFL
CXCL11,CXCR3,T_cells,B_Plasma,0.0011446133,0.072410084,8.288154e-05,ZFL
CX3CL1,CX3CR1,T_cells,Fibroblasts,0.059506927,0.0013924583,8.286092e-05,ZFL
CX3CL1,CX3CR1,B_Plasma,Endothelial,0.058750745,0.001403282,8.244387e-05,ZFL
HHLA2,TMIGD2,Endothelial,T_cells,0.0027407254,0.02997024,8.21402e-05,ZFL
CX3CL1,CX3CR1,B_Plasma,Fibroblasts,0.058750745,0.0013924583,8.1807964e-05,ZFL
IL10,IL10RA,Epithelial,Epithelial,0.005130456,0.015790852,8.101427e-05,ZFL
CCL22,CCR4,T_cells,Mast,0.008154998,0.009876953,8.054653e-05,ZFL
TNFSF11,TNFRSF11A,Myeloid,Endothelial,0.004158805,0.018945487,7.879059e-05,ZFL
CXCL13,CXCR5,Myeloid,Epithelial,0.017651163,0.0044416375,7.8400066e-05,ZFL
CCL3,CCR1,Endothelial,Epithelial,0.046219923,0.0016937375,7.8284414e-05,ZFL
XCL1,XCR1,T_cells,T_cells,0.06828115,0.0011417066,7.795704e-05,ZFL
PGF,KDR,B_Plasma,T_cells,0.025301093,0.0030466327,7.708314e-05,ZFL
CXCL11,CXCR3,B_Plasma,Myeloid,0.001479981,0.05165969,7.6455355e-05,ZFL
CXCL9,CXCR3,Mast,Epithelial,0.00717717,0.0105534475,7.574388e-05,ZFL
IL2,IL2RA,T_cells,Epithelial,0.0011557483,0.065407075,7.5594115e-05,ZFL
CCL2,CCR2,T_cells,Epithelial,0.115105666,0.0006566182,7.558048e-05,ZFL
CD86,CD28,Fibroblasts,Fibroblasts,0.0070685917,0.010547113,7.455323e-05,ZFL
IL21,IL21R,Myeloid,Epithelial,0.0056978767,0.01297646,7.393827e-05,ZFL
IL12A,IL12RB1,B_Plasma,Fibroblasts,0.005324906,0.013790721,7.34343e-05,ZFL
CD80,CTLA4,Fibroblasts,Mast,0.0020896157,0.03495421,7.3040865e-05,ZFL
HGF,MET,Epithelial,Myeloid,0.0026835282,0.02692568,7.225582e-05,ZFL
CXCL8,CXCR1,Endothelial,Myeloid,0.030032484,0.0023934431,7.188104e-05,ZFL
HGF,MET,Epithelial,B_Plasma,0.0026835282,0.026742449,7.1764116e-05,ZFL
TNFSF11,TNFRSF11A,Myeloid,T_cells,0.004158805,0.017222313,7.162424e-05,ZFL
TNFSF13B,TNFRSF13C,Endothelial,Endothelial,0.01154697,0.0061829663,7.139453e-05,ZFL
CCL22,CCR4,Myeloid,Epithelial,0.027675766,0.002578979,7.1375216e-05,ZFL
CXCL10,CXCR3,T_cells,Endothelial,0.008405875,0.008470262,7.119997e-05,ZFL
CD274,PDCD1,T_cells,Fibroblasts,0.015757114,0.0045143357,7.11329e-05,ZFL
CXCL8,CXCR2,Mast,Endothelial,0.006339523,0.011217107,7.1111106e-05,ZFL
TNFSF11,TNFRSF11A,T_cells,Endothelial,0.0037297725,0.018945487,7.0662354e-05,ZFL
CCL20,CCR6,Mast,B_Plasma,0.01621857,0.004344872,7.046761e-05,ZFL
CD274,PDCD1,T_cells,Endothelial,0.015757114,0.004463045,7.0324706e-05,ZFL
CCL20,CCR6,Fibroblasts,Myeloid,0.023253096,0.0030153198,7.011552e-05,ZFL
FASLG,FAS,Fibroblasts,Endothelial,0.0024120314,0.029006382,6.9964306e-05,ZFL
CD86,CD28,Mast,Fibroblasts,0.0066256714,0.010547113,6.98817e-05,ZFL
ANGPT2,TEK,Mast,Epithelial,0.02140141,0.0032469896,6.949016e-05,ZFL
PDCD1LG2,PDCD1,T_cells,Myeloid,0.009273338,0.0074881595,6.944023e-05,ZFL
FASLG,FAS,Fibroblasts,Mast,0.0024120314,0.02859794,6.897913e-05,ZFL
TNFSF9,TNFRSF9,B_Plasma,B_Plasma,0.06799385,0.0010137848,6.893113e-05,ZFL
CD86,CD28,Endothelial,Fibroblasts,0.0065342374,0.010547113,6.891734e-05,ZFL
IL1A,IL1R1,B_Plasma,Epithelial,0.0013241926,0.051991124,6.884626e-05,ZFL
PGF,KDR,Myeloid,Fibroblasts,0.010500196,0.0065452554,6.872647e-05,ZFL
IL12A,IL12RB1,Endothelial,B_Plasma,0.0021280411,0.03228206,6.869755e-05,ZFL
CD276,VTCN1,T_cells,B_Plasma,0.034714717,0.0019785762,6.868572e-05,ZFL
CXCL13,CXCR5,B_Plasma,Fibroblasts,0.00863857,0.007919092,6.840963e-05,ZFL
HHLA2,TMIGD2,T_cells,NK,0.00026016045,0.26043686,6.775537e-05,ZFL
CXCL8,CXCR2,Mast,Fibroblasts,0.006339523,0.010666037,6.7617584e-05,ZFL
IL1A,IL1R1,Epithelial,Mast,0.006447814,0.010454923,6.74114e-05,ZFL
CCL3,CCR1,Fibroblasts,Epithelial,0.039731644,0.0016937375,6.7294975e-05,ZFL
IL12A,IL12RB1,Epithelial,T_cells,0.00047903924,0.14024961,6.7185065e-05,ZFL
HGF,MET,B_Plasma,Epithelial,0.0006742993,0.099471726,6.707371e-05,ZFL
HGF,MET,B_Plasma,Endothelial,0.0006742993,0.099326424,6.697574e-05,ZFL
CCL20,CCR6,B_Plasma,B_Plasma,0.015412762,0.004344872,6.696648e-05,ZFL
ANGPT2,TEK,T_cells,Epithelial,0.020567538,0.0032469896,6.678258e-05,ZFL
CD80,CD28,Endothelial,Endothelial,0.0046613505,0.0143058915,6.668478e-05,ZFL
ANGPT2,TEK,B_Plasma,Epithelial,0.020533813,0.0032469896,6.667308e-05,ZFL
IL12A,IL12RB1,B_Plasma,Epithelial,0.005324906,0.012494232,6.6530614e-05,ZFL
CD80,CTLA4,Endothelial,Endothelial,0.0046613505,0.014170478,6.6053566e-05,ZFL
CXCL8,CXCR2,Mast,T_cells,0.006339523,0.010411785,6.600575e-05,ZFL
HGF,MET,Epithelial,Fibroblasts,0.0026835282,0.024577625,6.595475e-05,ZFL
FASLG,FAS,Fibroblasts,B_Plasma,0.0024120314,0.027258782,6.574904e-05,ZFL
CD86,CD28,Fibroblasts,Epithelial,0.0070685917,0.009220876,6.51786e-05,ZFL
XCL2,XCR1,Endothelial,Myeloid,0.019995626,0.0032590036,6.516582e-05,ZFL
CXCL13,CXCR5,Mast,Fibroblasts,0.008171623,0.007919092,6.471183e-05,ZFL
CXCL11,CXCR3,Epithelial,Epithelial,0.0061243703,0.0105534475,6.463322e-05,ZFL
CCL8,CCR2,Endothelial,B_Plasma,0.0038834778,0.01664058,6.462332e-05,ZFL
TNFSF11,TNFRSF11A,T_cells,T_cells,0.0037297725,0.017222313,6.423531e-05,ZFL
CD80,CTLA4,T_cells,B_Plasma,0.018477065,0.0034753755,6.421474e-05,ZFL
IL2,IL2RA,Epithelial,T_cells,0.00020733789,0.30913877,6.409618e-05,ZFL
CXCL13,CXCR5,B_Plasma,Endothelial,0.00863857,0.0074105333,6.4016414e-05,ZFL
HHLA2,TMIGD2,Fibroblasts,T_cells,0.0021337345,0.02997024,6.394854e-05,ZFL
IL23A,IL23R,Myeloid,Fibroblasts,0.035266947,0.0018092287,6.380597e-05,ZFL
CD80,CTLA4,Epithelial,Fibroblasts,0.0031456768,0.020270132,6.3763284e-05,ZFL
CCL20,CCR6,Myeloid,Endothelial,0.029631602,0.0021503724,6.371898e-05,ZFL
TNFSF11,TNFRSF11A,Myeloid,Epithelial,0.004158805,0.015311805,6.367881e-05,ZFL
IL21,IL21R,T_cells,Fibroblasts,0.004055136,0.015683228,6.3597625e-05,ZFL
IL23A,IL23R,Myeloid,Epithelial,0.035266947,0.0017895455,6.311181e-05,ZFL
CCL3,CCR1,Epithelial,Epithelial,0.03697677,0.0016937375,6.262894e-05,ZFL
ANGPT2,TEK,Mast,B_Plasma,0.02140141,0.002925507,6.260998e-05,ZFL
PDGFA,PDGFRA,Mast,Epithelial,0.012324982,0.0050667906,6.24481e-05,ZFL
CD276,VTCN1,Mast,B_Plasma,0.03150933,0.0019785762,6.2343606e-05,ZFL
CD276,VTCN1,B_Plasma,B_Plasma,0.031381648,0.0019785762,6.2090985e-05,ZFL
ANGPT2,TEK,Epithelial,Epithelial,0.019002834,0.0032469896,6.1702005e-05,ZFL
IL21,IL21R,Epithelial,T_cells,0.00016037004,0.38204753,6.126898e-05,ZFL
CD86,CD28,Mast,Epithelial,0.0066256714,0.009220876,6.109449e-05,ZFL
PDGFA,PDGFRA,B_Plasma,Epithelial,0.01205126,0.0050667906,6.106121e-05,ZFL
PDGFA,PDGFRA,Myeloid,Myeloid,0.031074237,0.0019649197,6.105838e-05,ZFL
CXCL9,CXCR3,Mast,Endothelial,0.00717717,0.008470262,6.0792514e-05,ZFL
CD274,PDCD1,T_cells,Epithelial,0.015757114,0.0038521746,6.0699153e-05,ZFL
CXCL13,CXCR5,Mast,Endothelial,0.008171623,0.0074105333,6.055608e-05,ZFL
CX3CL1,CX3CR1,Fibroblasts,B_Plasma,0.16901101,0.00035817132,6.0534898e-05,ZFL
CD86,CD28,Endothelial,Epithelial,0.0065342374,0.009220876,6.025139e-05,ZFL
ANGPT2,TEK,T_cells,B_Plasma,0.020567538,0.002925507,6.0170478e-05,ZFL
ANGPT2,TEK,B_Plasma,B_Plasma,0.020533813,0.002925507,6.0071816e-05,ZFL
TNFSF13,TNFRSF13C,Fibroblasts,T_cells,0.0031072283,0.019185042,5.9612306e-05,ZFL
